natural_gas_use_kbtu,objectid,address,property_name,opa_number,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electricity_use_kbtu,portfolio_manager_id,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes,x_coord,y_coord
1249853.9,410,13500 E ROOSEVELT BLV,SPD Electrical,884243200,19116,1,1984,Manufacturing/Industrial Plant,165000,14701301.5,3643255,Not Available,Not Available,Not Available,96.7,287.7,660.8,1752.3,,-74.99364635,40.11222842
Not Available,411,1001 LOCUST ST,Hamilton Building,771016000,19107,1,2007,Office,271786,9555800.7,3643275,Not Available,7580706.1,62,117.9,269.1,3968.4,1599.2,,-75.15835869,39.94774056
18775.8,412,951 LOCUST ST,Bluemle Life Science Building,771015010,19107,1,1991,Laboratory,287286,46687010.2,3643298,Not Available,39778110.9,Not Available,301,676.9,20421.8,7996.2,,-75.1569663,39.9477041
Not Available,413,901-03 WALNUT ST,901 Walnut Street Building,771017500,19107,1,2010,Office,85000,3605521.8,3643346,Not Available,5504340.2,44,187,290.9,570,1136.6,,-75.15594319,39.94855467
Not Available,414,1100 FLAGSHIP DR,Building 611,788044100,19112,1,1942,Non-Refrigerated Warehouse,215800,69401.4,3644128,Not Available,Not Available,Not Available,0.3,1,32,8,,-75.17164373,39.88849837
Not Available,415,1401-15 ARCH ST,1401 Arch St.,883056905,19102,1,1960,Office,178250,12465892.1,3644299,Not Available,Not Available,48,69.9,219.6,4361.6,1429.6,,-75.16362206,39.9547158
574.6,416,3508-18 MARKET ST,Monell Center,774688100,19104,1,1970,Office,61589,5213658.8,3652506,Not Available,4432649.6,Not Available,156.6,352.4,844.1,892.3,,-75.1934566,39.95581246
1077593.2,417,4259 RICHMOND ST,Franklin Towne Charter Elementary School,777285900,19137,1,2011,K-12 School,110000,4455710.3,3656455,Not Available,Not Available,60,50.3,137.5,709.6,568.2,,-75.07471913,39.9955124
51813794.6,418,2301 S BROAD ST,Methodist Hospital,771010000,19148,1,1888,Hospital (General Medical & Surgical),312144,38916419,3656490,Not Available,Not Available,20,290.7,565.8,11288.9,7215,,-75.16925894,39.92112642
Not Available,419,4300 WISSAHICKON AVE,"Altomare Precast, Inc.",884131500,19129,1,1910,Manufacturing/Industrial Plant,146508,1444916.8,3657531,Not Available,Not Available,Not Available,9.9,31,622.3,160.3,,-75.17036704,40.01349964
847799.5,420,100-26 W CHELTEN AVE,Imani Education Charter School,882018040,19144,7,1927,K-12 School,61592,Not Available,3657578,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,-75.17649458,40.03321671
370758,421,1300-12 LOCUST ST,Historical Society of Pennsylvania,771739000,19107,1,1910,Library,71316,3526868.4,3657737,Not Available,3572821.5,Not Available,104.8,221,2721.8,661.4,,-75.1627636,39.94773687
Not Available,422,1524-30 WALNUT ST,1528 Walnut,883041500,19102,1,1927,Office,206625,10342628.4,3663168,Not Available,5071865.7,68,74.6,186.7,5240.4,1522.9,,-75.16733033,39.94944932
7022164.6,423,30-36 S 15TH ST,30 South 15th Associates,883048700,19102,1,1985,Office,241831,12242440.2,3663256,Not Available,Not Available,80,79.7,189.4,5423.4,1776.9,,-75.16585429,39.95155067
164000,424,4433 WAYNE AVE,0542-Philadelphia - Wayne Ave.,884071500,19144,1,2009,Non-Refrigerated Warehouse,108210,1349565.4,3663490,Not Available,Not Available,35,14,40.8,25,163.5,,-75.15941107,40.02153907
Not Available,425,1553 Grant Avenue,0774-Philadelphia - Grant Avenue,884227301,19115,1,2009,Non-Refrigerated Warehouse,72755,514202,3663623,Not Available,Not Available,84,7.1,22.2,65,59,,-75.03997545,40.08807399
Not Available,426,6204-08 OXFORD AVE,0981-Philadelphia - Oxford Ave.,884220920,19111,1,2009,Non-Refrigerated Warehouse,62835,374067.8,3663692,Not Available,Not Available,88,6,18.7,801,42.9,,-75.09037612,40.04125089
965700,427,11771 E ROOSEVELT BLV,1198-Philadelphia - Roosevelt BL,884269100,19154,1,2009,Non-Refrigerated Warehouse,108232,671369,3663826,Not Available,Not Available,92,15.1,28.8,0,128.3,,-74.99862573,40.1054714
630564.9,428,2275 BRIDGE ST # 12,Franklin Towne Charter High School,777226180,19137,3,1940,K-12 School,143673,9241630.6,3666158,Not Available,Not Available,10,68.7,206.6,509924.9,1093.3,,-75.06579464,40.00747015
Not Available,429,401 DOMINO LA,"Penn Beer Distributors, Inc.",884630430,19128,1,1972,Mixed Use Property,178420,4061112.5,3666305,Not Available,Not Available,Not Available,30,94.2,5.9,465.7,,-75.23849104,40.04300665
Not Available,430,3500-06 MARKET ST,Monell Chemical Senses Center,773702000,19104,1,1970,Laboratory,60000,7247610,3667296,Not Available,8496980.4,Not Available,262.4,549.7,4956.4,1395.3,,-75.19305871,39.95574319
32035009.8,431,1100 ORTHODOX ST,Orthodox Facility,884091500,19124,1,1960,Manufacturing/Industrial Plant,114000,24523845.5,3667832,Not Available,Not Available,Not Available,496.1,970.5,488.4,4513.9,,-75.09328021,40.01798411
10432474.6,432,7700 DUNGAN RD,Dungan Facility,884221500,19111,1,1960,Manufacturing/Industrial Plant,185000,11393551.7,3667834,Not Available,Not Available,Not Available,118,252.6,2301,1860.7,,-75.07393223,40.06432894
27206460.3,433,10801 DECATUR RD,David Michael and Co Inc,884279500,19154,1,1970,Manufacturing/Industrial Plant,256420,11777811.1,3668376,Not Available,Not Available,Not Available,366.3,615.9,5214.3,2795.7,,-74.99273176,40.09004398
3114668.2,434,1520 GRANT AVE,Northeast Racquet Club - NERC,882069300,19115,2,1973,Fitness Center/Health Club/Gym,117000,7137091.9,3669125,Not Available,Not Available,Not Available,87.6,219.5,18.5,983.9,,-75.04352481,40.08693466
2072295.4,435,9501 STATE RD,rivers edge,881435201,19114,1,1986,Senior Care Community,78009,3630313.4,3672870,Not Available,Not Available,23,107.6,256.1,4482.1,526.4,,-74.98493033,40.05044436
7289.8,436,230-34 W WASHINGTON SQ,Farm Journal,771005500,19107,1,1910,Medical Office,102855,11429828.1,3673215,Not Available,13507076.5,6,242.5,507,9106.4,2208,,-75.15389542,39.94634107
346095.2,437,2000-34 N 02ND ST,Charles Schober Company,884080331,19122,1,1923,Non-Refrigerated Warehouse,83950,101544.9,3673448,Not Available,Not Available,98,5.3,8.1,82.8,30,,-75.13738929,39.98116518
4120246,438,2200 WHEATSHEAF LA,Walmart Supercenter #01-5891,882125404,19137,1,2012,Wholesale Club/Supercenter,92185,7773368.5,3673577,Not Available,Not Available,69,129,311.7,1288.4,1110.3,,-75.09236604,39.99888405
76080.9,439,7425 STATE RD,ez storage,884256025,19136,5,2006,Self-Storage Facility,85350,3845354.7,3673605,Not Available,Not Available,Not Available,45.9,142.4,441.8,445,,-75.02702715,40.02753601
3907864.5,440,1675 S CHRIS COLUMBUS BLV,Walmart Supercenter #01-2141,882055181,19148,1,1995,Wholesale Club/Supercenter,149398,10802473.9,3673727,Not Available,Not Available,80,98.5,254.5,2749.1,1446.4,,-75.14106979,39.92590312
71073198.1,441,4182-90 CITY AVE,Philadelphia College of Osteopathic Medicine,774010040,19131,4,1972,College/University,409268,27949555,3675619,Not Available,Not Available,Not Available,242,396.8,16822.6,6980.3,,-75.21749639,40.00452432
Not Available,442,161 LEVERINGTON AVE,Chimney Hill,881079300,19127,2,1994,Multifamily Housing,124390,3159450.6,3679271,Not Available,Not Available,93,28.2,88.7,4311.7,362.3,,-75.227388,40.03010971
305893.6,507,4306-24 WOODLAND AVE,Athletic Recreation Center (ARC),773503005,19104,1,2003,College/University,78800,7195631.6,3696855,Not Available,Not Available,Not Available,95.2,290.8,5331.5,841.4,,-75.20716885,39.94443619
314263.8,508,4140-48 WOODLAND AVE,4140 Woodland,773499500,19104,1,1920,College/University,70000,2523933.5,3696900,Not Available,Not Available,Not Available,40.5,117.9,316.1,306.1,,-75.20602983,39.94610172
26017066,509,4201-47 WOODLAND AVE,Griffith Hall,773500500,19104,1,1928,College/University,113332,5941052.9,3696901,Not Available,Not Available,Not Available,282,405.6,1431.9,2063.2,,-75.20794135,39.94679246
4319788.3,510,3926-38 CHESTNUT ST,3930 Chestnut St.,773687010,19104,1,1966,Office,67084,3867703.3,3696988,Not Available,Not Available,55,122,248.6,702.9,673,,-75.20160222,39.9551355
7114969.5,511,401-21 E HUNTING PARK AVE,401-425 E Hunting Park Ave,884184000,19124,1,1978,Manufacturing/Industrial Plant,112000,4534694.7,3697969,Not Available,Not Available,Not Available,104,193.8,1160.4,897.9,,-75.11796912,40.01385589
1654585.5,512,10901 DUTTON RD,DUTTON ROAD ASSOC.,884282510,19154,1,1975,Other,96000,1047729.3,3707270,Not Available,Not Available,Not Available,28.1,52.4,653.7,208,,-74.99054629,40.08723413
5238551.2,513,100-52 W SCHOOL HOUSE LA,Pennsylvania School for the Deaf,775530500,19144,7,1984,K-12 School,108271,2770434.8,3707291,Not Available,Not Available,30,96.2,170.5,1654.6,596,,-75.1744463,40.03156299
Not Available,514,2520 S CHRISTOPHER COLUMBUS BLVD ,PECO Oregon Shops,884138051,19148,1,1955,Other - Utility,155863,5944048.6,3707307,Not Available,Not Available,Not Available,38.1,119.7,0.6,681.7,,-75.13967432,39.91419043
68940.9,459,1600 SPRING GARDEN ST,CCP Main Campus-East,772534600,19130,4,1982,College/University,461598,40376209.1,3681793,Not Available,Not Available,Not Available,87.6,274.8,Not Available,4482.6,,-75.16577645,39.96149445
2797612.7,460,1700 SPRING GARDEN ST,CCP Main Campus-West,772534700,19130,5,1982,College/University,556554,43742351.8,3681794,Not Available,Not Available,Not Available,83.6,252.1,770.7,5001,,-75.16727515,39.96205829
728336.5,461,1751 CALLOWHILL ST,Center for Business & Industry,772535700,19130,1,2003,College/University,177480,5318632.4,3681795,Not Available,Not Available,Not Available,34.1,98.4,1018.4,628.7,,-75.16772022,39.96069694
91389.7,462,1210-16 W GODFREY AVE,Northwest Regional Center,776554000,19141,1,1965,College/University,81018,4341514.1,3681796,3133676.4,Not Available,Not Available,93.4,208.5,3539.8,719,,-75.1409242,40.04649715
2290310.2,463,12901 TOWNSEND RD,Northeast Regional Center,778811300,19154,1,1995,College/University,109110,6002260.7,3681797,Not Available,Not Available,Not Available,76,194.8,657.6,787.5,,-74.97768308,40.10614532
903981.6,464,4116-18 CHESTER AVE,4100 Chester / 4101 Woodland Avenue,883080550,19104,1,1920,Office,55000,2935002.4,3682419,Not Available,Not Available,Not Available,69.8,184.8,492.7,384.6,,-75.20619207,39.94801348
1829522.1,465,1400 KITTY HAWK AVE,Building 990,788007017,19112,1,1969,Distribution Center,70318,2416622.7,3682799,Not Available,Not Available,57,60.4,135.2,227.6,374.3,,-75.186889,39.89028835
1400917.9,466,8301 TORRESDALE AVE,Wolf Investments Corp. #3,884259500,19136,1,1963,Other,143000,1689775.9,3682801,Not Available,Not Available,Not Available,21.6,47.4,2050.1,268.2,,-75.01656761,40.03799743
704335.5,467,146 N BROAD ST,Parkway Building,883413000,19102,1,1987,Parking,173512,2667837.7,3682858,Not Available,Not Available,Not Available,166.5,450,510.6,343.4,,-75.16333345,39.95608624
Not Available,468,800-12 SPRING GARDEN ST,Philadelphia Traffic Court,883523020,19123,1,1946,Courthouse,80000,5205371.1,3682893,Not Available,Not Available,47,65.1,204.3,2402.3,596.9,,-75.15218518,39.96071135
Not Available,469,20 S. 16th Street,Liberty Place,883422300,19109,1,1986,Parking,434000,3930194.1,3682894,Not Available,Not Available,Not Available,9.1,28.4,Not Available,450.7,,-75.16745103,39.95202646
Not Available,470,1201-39 FILBERT ST,12th and Filbert,883430700,19107,1,2002,Parking,291677,9791842.9,3683011,Not Available,2693995108,Not Available,9269.8,11217,5993.2,180000.1,,-75.16039071,39.95326493
890361.8,471,3000-18 MARKET ST,3010 Market Street,883074000,19104,1,1895,Mixed Use Property,90000,3475217.5,3683056,Not Available,2387852.4,Not Available,112.6,245.3,3186.9,604.4,,-75.18392602,39.95447332
1556359.1,472,8701 TORRESDALE AVE,Wolf Investment Corp. #7,884260000,19136,1,1956,Other,170000,1682340.9,3683713,Not Available,Not Available,Not Available,19.1,40.7,632.6,275.6,,-75.00755009,40.0435927
1216468.7,473,520 N CHRIS COLUMBUS BLV,Riverview Place,883522900,19123,1,1929,Office,188046,8029033.1,3685108,Not Available,Not Available,91,49.2,140.9,5837.8,985.4,,-75.13787358,39.9598455
1769042.1,474,11500 E ROOSEVELT BLV,ROOSEVELT BOULEVARD ASSOC.,884242700,19116,1,1956,Other,298627,1529327.3,3685555,Not Available,Not Available,Not Available,11,22.3,570.6,269.3,,-75.01023431,40.1066265
2294497.7,475,1771 TOMLINSON RD,ROOSEVELT BOULEVARD ASSOC.,884232400,19116,1,1970,Other,207000,1623008.2,3685736,Not Available,Not Available,Not Available,18.9,36.3,1068.1,308,,-75.01360337,40.10581083
40085432,476,4641 E ROOSEVELT BLV,Friends Hospital,778031022,19124,1,1950,Other - Specialty Hospital,296945,12840533.1,3685966,Not Available,Not Available,Not Available,178.2,277.5,14907.6,3601.7,,-75.10319039,40.0251764
772945.6,477,6801 NEW STATE RD,NATIONAL GREYHOUND ADOPTION PROGRAM,884351865,19135,1,1956,Other,66786,Not Available,3686050,Not Available,Not Available,Not Available,11.6,12.2,321.9,41.1,,-75.03819479,40.01978669
889316.9,478,8803-35 TORRESDALE AVE,TORRESDALE PLAZA LP,884260502,19136,1,1969,Other,506181,2898927,3686205,Not Available,Not Available,Not Available,20.8,55.1,889.4,379.7,,-75.00546181,40.04411785
Not Available,479,2001 WOODHAVEN RD,Raymour and Flanigan Woodhaven CSC,884243500,19116,1,1965,Distribution Center,98679,1671746.2,3687630,2107934.8,Not Available,63,38.3,74.8,279.6,341.9,,-75.00311985,40.11520207
36479.4,480,3601-37 SPRUCE ST,The Wistar Institute,773542000,19104,1,1894,Laboratory,255427,41800650.8,3687631,Not Available,29967967.6,Not Available,281.1,655.2,14772.3,6785.4,,-75.19584597,39.95122649
2441161.6,481,4300 TACONY ST,First Philadelphia Charter School,778531801,19124,2,2002,K-12 School,478150,3010369,3687689,Not Available,Not Available,87,69.8,153.8,682.2,474.9,,-75.08081119,40.00750607
4178898.1,482,3722-46 MARKET ST,National Board of Medical Examiners,774688600,19104,1,1980,Office,165000,14508653.1,3687885,Not Available,Not Available,42,113.3,302.7,3752.2,1885.8,,-75.1974685,39.95614283
5367738.3,483,4201 ISLAND AVE,Sheraton Suites Philadelphia Airport,883742000,19153,1,1985,Hotel,192000,9833599,3687911,Not Available,Not Available,65,79.3,190.3,11090.9,1414.1,,-75.23224662,39.89050074
1534554.7,484,17 S 17TH ST,Westin Philadelphia Hotel,883704000,19103,1,1990,Hotel,240000,12627822.2,3687917,Not Available,7942495.5,42,92.1,211.7,22391,2057,,-75.16854836,39.95237644
1915903.8,485,3921-25 CHESTNUT ST,11018 - Philadelphia Ronald McDonald House,773080515,19104,1,1885,Hotel,79641,1962727.1,3688012,Not Available,Not Available,93,59.5,125.4,1765.3,326.8,,-75.20108695,39.9559012
1768221.7,486,2301 E ALLEGHENY AVE,City Center at Northeast Hospital,883376890,19134,1,1974,Medical Office,222240,16057707.9,3688434,Not Available,Not Available,43,80.2,235.2,6089.5,1935.4,,-75.10594167,39.98985544
523333.9,487,720 Arch,Cast Iron Building,781004550,19106,1,1881,Office,124000,5503051,3689195,Not Available,Not Available,87,48.6,143.8,822.3,658.9,,-75.15204593,39.95253327
Not Available,488,716-30 SPRUCE ST,700 Duncan Building,883102000,19106,6,1979,Parking,184383,8564505.6,3689468,Not Available,Not Available,Not Available,103.6,325.3,2058,982.2,,-75.1543574,39.94552133
2201404.6,489,600 PACKER AVE,Sysco Philadelphia Food Service Warehouse,884142260,19148,1,1964,Refrigerated Warehouse,578770,22652609.2,3689997,Not Available,Not Available,88,42.9,126.9,17020.3,2714.7,,-75.16020997,39.90659315
1112569.6,490,10905 DUTTON RD,Flynn & OHara Uniforms,884282000,19154,1,1970,Distribution Center,108000,638234.4,3690153,Not Available,Not Available,91,30.2,54.7,135.3,132.3,,-74.98924987,40.08842384
409931,491,1800 S CHRIS COLUMBUS BLV,"Betty, Inc",884004000,19148,1,1948,Non-Refrigerated Warehouse,410000,1097034.8,3690843,Not Available,Not Available,100,3.8,4.9,34.4,88.5,,-75.14473462,39.92436184
2834320.3,492,118-26 N BROAD ST,Historic Landmark Building,772724000,19102,1,1865,Museum,71000,4507654.6,3690846,Not Available,Not Available,Not Available,103.4,241.3,918.8,667.5,,-75.16366855,39.9552166
Not Available,493,8875 RIDGE AVE,Colonial Village Townhomes,881091000,19128,1,1980,Multifamily Housing,71040,55977.3,3690946,Not Available,Not Available,Not Available,0.8,2.5,3.5,6.4,,-75.23894362,40.06873329
14999468.8,494,2600 W ALLEGHENY AVE,Allegheny Depot,875103160,19132,1,1986,Other - Public Services,208000,9415072.8,3690996,138000,Not Available,Not Available,118,218.5,5834.8,1886.7,,-75.17321262,40.00336458
33012253.5,495,4301-15 WISSAHICKON AVE,Midvale Depot,875102810,19129,1,1996,Other - Public Services,443000,24731278.1,3694563,414000,Not Available,Not Available,131.3,254.5,11223,4620.3,,-75.16609612,40.01540466
13584460.3,496,4901 WOODLAND AVE,Woodland Shop,875105490,19143,1,1985,Other - Public Services,262000,5326814.4,3694564,Not Available,Not Available,Not Available,72.2,118.3,462.3,1332.4,,-75.21386376,39.94094818
20129502.2,497,200 W WYOMING AVE,Berridge Shop,875104640,19140,2,1955,Other - Public Services,475000,24173811.9,3694569,0,Not Available,Not Available,93.3,204.3,3197.9,3841.4,,-75.12953785,40.02132639
7650588.7,498,4529 N 3RD ST,Courtland Shop,875104610,19140,1,1952,Other - Public Services,53000,172875.8,3694570,Not Available,Not Available,Not Available,147.6,161.8,1428,426.2,,-75.12969839,40.02008243
9587251.7,499,5307-21 JEFFERSON ST,Overbrook Shop,875102985,19131,1,1994,Other - Public Services,200000,5726915.8,3694574,Not Available,Not Available,Not Available,76.6,140.2,2012.3,1166,,-75.22905423,39.98082061
12786525.1,500,5208 FRANKFORD AVE,Frankford Depot,875102240,19124,1,1957,Other - Public Services,102000,7338638.8,3694576,0,Not Available,Not Available,197.3,357.5,6811,1520.7,,-75.07829995,40.02368358
1732823,501,3301 SOLLY AVE,Father Judge High School,778508000,19136,3,1954,K-12 School,216211,3037033.1,3695833,845871.1,Not Available,97,36.5,79.3,1010.8,503.1,,-75.0229875,40.04868528
465209.7,502,5825 TACONY ST,Eastern Surplus,884177825,19135,2,1950,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",167745,575728.9,3696167,Not Available,Not Available,Not Available,13,28.7,72.3,90.7,,-75.05673542,40.01234351
Not Available,503,4250 WISSAHICKON AVE,"4250 Wissahickon Avenue, Inc.",884131060,19129,1,1938,Non-Refrigerated Warehouse,77456,1482124.7,3696620,Not Available,Not Available,50,19.1,60.1,71,164.4,,-75.17112352,40.01248073
668153.1,504,9250 ASHTON RD,"9250 Ashton Road, Inc.",884226510,19114,1,1966,Non-Refrigerated Warehouse,289713,2127597,3696624,Not Available,Not Available,99,9.7,25.5,66.1,271.5,,-75.02260657,40.06706486
692020.5,505,1334-76 BEACH ST,Penn Treaty Park Place,883365200,19125,1,1911,Office,178680,4567159.9,3696768,Not Available,Not Available,99,36.4,104.1,1384.5,560.5,,-75.12752016,39.96785958
11213.2,506,730 S 43RD ST,Science and Technology Center (STC),773503005,19104,1,2007,College/University,78000,6404477.5,3696770,Not Available,Not Available,Not Available,82.3,258,2252.4,735.1,,-75.20716885,39.94443619
33637.5,563,4109 WALNUT ST,Homewood Suites University City,883733000,19104,1,2012,Hotel,110000,5786342.6,3773012,Not Available,Not Available,70,52.9,165.5,7044.6,665.4,,-75.20557441,39.95489742
35638448.3,564,300-18 S BROAD ST,Kimmel Center for the Performing Arts,772727205,19102,1,2001,Performing Arts,468307,22770333.4,3773257,Not Available,Not Available,Not Available,139.3,259.7,9330.2,4504.2,,-75.16577632,39.94665634
Not Available,565,651 E WYOMING AVE,Lesco Paper & Box Co,884185500,19120,1,1921,Non-Refrigerated Warehouse,115000,810200.9,3773319,Not Available,Not Available,85,7,22.1,116.2,92.9,,-75.11033029,40.02063125
Not Available,566,4806-98 MARKET ST,FORMAN MILLS 106,882020290,19139,1,1920,Retail Store,52656,2726345,3773373,Not Available,Not Available,54,51.8,162.6,204.6,312.7,,-75.21816691,39.95873068
3920635.6,959,4030-60 BROWN ST,Belmont,783065600,19104,1,1927,K-12 School,87000,1885896.3,4123939,Not Available,Not Available,27,66.7,115.4,667.6,424.5,,-75.20484038,39.96665106
3380865.2,567,1330 RHAWN ST,Tacony Academy Charter School,778506501,19111,1,1978,K-12 School,76500,4509.9,3773538,Not Available,Not Available,100,64.5,67.9,2733.8,180.1,,-75.06598354,40.06684221
18743014.3,568,140 S BROAD ST,Union League of Philadelphia,883701500,19102,1,1865,Social/Meeting Hall,221044,15588179.2,3773617,303600,Not Available,Not Available,156.7,311.9,10873.2,2805.7,,-75.16503649,39.95002692
Not Available,569,1416-18 CHESTNUT ST,MidTown Garage,883421500,19102,1,1984,Parking,110000,1166202.2,3773802,Not Available,Not Available,Not Available,11.9,37.5,10.9,133.7,,-75.1649346,39.95058601
Not Available,570,2800 GRANT AVE,"Muller, Inc.",884224004,19114,1,1984,Non-Refrigerated Warehouse,214815,6735530.3,3773860,Not Available,Not Available,Not Available,Not Available,Not Available,513.4,Not Available,,-75.01898589,40.07144838
1886676,571,301 W HUNTING PARK AVE,Esperanza Academy,777577905,19140,1,1930,K-12 School,71440,4914399.1,3773891,Not Available,Not Available,19,95.2,243.7,601.6,663.8,,-75.13335271,40.01511797
Not Available,572,330 MARKET ST,WTXF TV,883011500,19106,1,1971,Other - Technology/Science,84596,13232718.7,3773931,Not Available,3100655.8,Not Available,214.4,594.4,755.8,1723.4,,-75.14698308,39.94995941
5789716.5,573,4501-17 CHESTNUT ST,West Catholic,774569000,19139,3,1926,K-12 School,198665,1901135,3773979,Not Available,Not Available,94,49.2,77,822.1,525.5,,-75.21171289,39.95721444
917407,574,1001 W LUZERNE ST,Little Flower Catholic High School,777247000,19140,2,1939,K-12 School,232269,1615322,3773988,1728726,Not Available,100,23.2,42.3,2120,362.3,,-75.14483833,40.01363228
726677.3,575,2240 ISLAND AVE,Metro Storage East LLC-IS,884791940,19142,1,1927,Self-Storage Facility,109580,833629.1,3774014,Not Available,Not Available,Not Available,14.2,30.9,17.1,134.2,,-75.24614682,39.9154452
2747409.3,576,561 FAIRTHORNE AVE,Fairmont Hospital,881436400,19128,1,1997,Other - Specialty Hospital,89344,4748077.8,3774255,Not Available,Not Available,Not Available,83.9,199.2,20031.2,690.4,,-75.22120244,40.04295408
Not Available,577,2150 E WESTMORELAND ST,Westmoreland 2150 LP,884201450,19096,1,1929,Non-Refrigerated Warehouse,53000,131890.9,3774259,Not Available,Not Available,Not Available,2.5,7.8,21.1,14.6,,-75.10711968,39.99263943
1552005,578,615 CHESTNUT ST,615 Chestnut Street,883010310,19106,1,1981,Office,446086,21494252.3,3774260,Not Available,Not Available,91,51.7,155,6589.4,2547.4,,-75.15166103,39.94963109
Not Available,515,1701 MARKET ST,1701 Market Street,883053530,19103,1,1957,Office,414598,27215265.3,3715845,Not Available,3908196.7,48,102,295.4,6553.9,3380.5,,-75.16872354,39.95354136
792303.2,516,321-23 CHESTNUT ST,National Liberty Museum,771737000,19106,1,1905,Museum,84410,1244570.7,3721208,Not Available,Not Available,Not Available,24.1,56.2,177.4,180.1,,-75.1468191,39.94906655
Not Available,517,1305-11 WALNUT ST,Holiday Inn Express Midtown,883700000,19107,1,1964,Hotel,110000,Not Available,3727278,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,-75.1625575,39.94953302
Not Available,518,1330 VERNON RD,St. Raymond of Penafort,775329000,19150,2,1950,K-12 School,61900,469239.4,3736431,Not Available,Not Available,100,7.6,23.8,855.7,53.8,,-75.16685983,40.07181907
179195.3,519,3660 S LAWRENCE ST,Novick Brothers Corp.,884154000,19148,1,1962,Distribution Center,172229,3716343.6,3736468,Not Available,Not Available,40,61.6,187.5,235.2,435.7,,-75.15973258,39.90157379
Not Available,520,1201-11 WALNUT ST,12th and Walnut,883408500,19102,1,1979,Parking,233571,2407408.9,3736473,Not Available,Not Available,Not Available,146.9,461.2,1471.8,276.1,,-75.1608131,39.94931013
5527577.5,521,7241 GERMANTOWN AVE,Lutheran Theological Seminary of Philadelphia,775515000,19119,6,1889,College/University,259257,5499246.6,3751369,0,Not Available,Not Available,42.5,89,898.7,924.2,,-75.19131522,40.06207709
Not Available,522,2601 TRENTON AVE,"Charles Jacquin et Cie., Inc.",884104340,19125,5,1970,Manufacturing/Industrial Plant,200000,3611281.3,3751437,Not Available,Not Available,Not Available,18.1,56.7,4089.6,414.1,,-75.12182203,39.98343804
0,523,1001-19 N 05TH ST,St. Peter the Apostle Parish,771211200,19123,3,1843,Mixed Use Property,85426,16665.7,3751822,Not Available,Not Available,Not Available,0.2,0.6,373.6,1.9,,-75.14469388,39.96949812
5301418.2,524,5400 E ROOSEVELT BLV,St. Martin of Tours Church,778271000,19124,5,1954,K-12 School,93450,1384410.8,3751823,349002,Not Available,61,75.3,109.9,1704.7,461.1,,-75.08677618,40.03190639
Not Available,525,250 S 20TH ST,St. Patrick's Church,772304000,19103,1,1893,Worship Facility,50400,Not Available,3751825,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,-75.1745631,39.94901003
48336.7,526,2100 S 21ST ST,St. Edmond Church,773235000,19145,1,1936,Worship Facility,85086,211465.5,3751826,868544.4,Not Available,98,13.3,18.7,872,91.3,,-75.18156597,39.92527296
6852210.3,527,3000 COTTMAN AVE,St. Matthew Church (correct),778130000,19149,4,1937,K-12 School,140800,2229415.8,3751830,Not Available,Not Available,70,64.5,100.8,1812.4,611.3,,-75.05041095,40.04130062
184955.4,528,1207-09 CHESTNUT ST,1207 Chestnut,883311000,19107,1,1925,Office,51676,2871539.2,3759390,Not Available,568105.2,52,70.1,191.5,1165.4,376.9,,-75.16050338,39.95073233
1999333.5,529,303 N BROAD ST,Roman Catholic High School,771063000,19102,3,1890,K-12 School,92588,1851552.8,3759394,Not Available,Not Available,89,49.7,102.1,569.7,318.5,,-75.1617596,39.95827807
Not Available,530,116 FOUNTAIN ST,Manayunk Self Storage,884083300,19127,2,1903,Self-Storage Facility,106000,891110.7,3760060,Not Available,Not Available,Not Available,8.4,26.4,54.7,98.9,,-75.2335098,40.03168973
881215.5,531,1831-41 W ALLEGHENY AVE,Devon Self Storage Allegheny,884067430,19132,1,1920,Self-Storage Facility,210000,4490656,3760835,Not Available,Not Available,Not Available,25.6,71.6,15.8,561.8,,-75.16031018,40.00323784
Not Available,532,10 OREGON AVE,Devon Self Storage Oregon,884140610,19148,1,1920,Self-Storage Facility,200000,Not Available,3760838,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,-75.14738147,39.91279466
70294367,533,160 E ERIE AVE,St. Christophers Hospital for Children,777011730,19134,1,1989,Hospital (General Medical & Surgical),1043572,71179165,3760930,722701.6,Not Available,70,182.7,382.9,37926.5,11950.1,,-75.12566939,40.00636309
4079399.9,534,1301-09 RACE ST,097-Hampton Inn - Philadelphia,883704760,19107,1,2001,Hotel,159885,6344364.9,3762103,Not Available,Not Available,75,65.2,151.4,9893,944.2,,-75.16084251,39.95626985
9439100,535,202 W RITTENHOUSE SQ HOTEL,171-Rittenhouse Hotel,883702700,19103,1,1989,Hotel,134484,13754996.9,3762129,Not Available,Not Available,2,172.5,394.9,686.7,2078.8,,-75.17340398,39.94984228
