Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0296/001,449 Powell Street,449 POWELL ST,94102,34173,Retail Store,"449 POWELL ST
SAN FRANCISCO, CA 94102
(37.789069, -122.408615)",Complied,,http://propertymap.sfplanning.org/?&search=0296/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,48.9,151.5,23,23,126,3.7,48.9,151.5,,49.6,155,25.9,25.9,146.7,4.3,49.6,155,,48.7,152.8,24.1,24.1,135.6,4,48.7,152.8,,46.8,146.9,19.3,19.3,130.3,3.8,46.8,146.9,100,27.9,76.7,-77.4,-77.3,63.6,2.3,26.9,75.6,100,18.7,57.2,-84.1,,45.21,,18.4,56.9,,,,,,,,,
3799/001,601 Townsend St.,700 7TH ST,94107,384203,Office,"700 7TH ST
SAN FRANCISCO, CA 94107
(37.771542, -122.401333)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=3799/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Exempt - LEED EBOM,2013-04-01T00:00:00,,,,,,,,,,100,21.5,55.6,-82.1,-82.1,425.6,1.5,21.5,55.6,,89.3,141.8,-4.2,-4.2,1622.9,5.5,89.3,141.8,99,97.8,164.9,-56.8,-56.8,1776.7,6,97.8,164.9,100,97.4,167.2,-59.9,-59.9,1838.6,6.2,97.4,167.2,100,98.1,156.5,-64,,1794,,98.1,156.5,100,68.1,,-59.9,,1713.93,,69.2,
3706/096,337F2-San Francisco Moscone Marriott,765 MARKET ST,94103,1500000,Hotel,"765 MARKET ST
SAN FRANCISCO, CA 94103
(37.786456, -122.40496)",Complied,,http://propertymap.sfplanning.org/?&search=3706/096,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,70,65,143.4,-17.5,-17.5,6403.4,4.3,65.4,143.4,67,65.8,144.8,-15.4,-15.4,7069.5,4.7,66.5,145.5,51,69.6,157.9,-1.7,-1.7,7594.2,5.1,69.8,157.1,42,67.1,156.8,7,7,7318.7,4.7,66.6,153.2,55,65,148.3,-5,-4.9,7392.3,4.8,64.9,149.5,74,63.1,152.7,-21.1,,12726.34,,64.8,159.3,78,60.8,,-24.4,,12291.03,,60.9,
4224/045,San Francisco Food Bank,900 PENNSYLVANIA AVE,94107,55000,Distribution Center,"900 PENNSYLVANIA AVE
SAN FRANCISCO, CA 94107
(37.754394, -122.392817)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4224/045,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,28,44.6,139.9,32.1,32.1,212.6,3.9,44.6,139.9,29,44.4,139.2,30.3,30.3,198.9,3.6,44.4,139.2,19,51.7,162.2,52.8,52.8,231.7,4.2,51.7,162.2,28,45.1,141.5,32,32,202.1,3.7,45.2,141.9,29,44.4,148.4,30.2,,222.01,,47.4,158.3,25,44.7,,40.4,,223.19,,44.7,
5203/043,Independent Electric Supply,1575 BURKE AVE,94124,36480,Distribution Center,"1575 BURKE AVE
SAN FRANCISCO, CA 94124
(37.744587, -122.386283)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=5203/043,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2013-04-01T00:00:00,,,,,,,,,,67,13.7,40.9,-23.5,-23.5,42.1,1.2,13.7,40.9,66,14.2,42.8,-22.4,-22.4,41.4,1.1,14.4,43.1,62,14.6,44.2,-17.4,-17.4,42.6,1.2,14.6,44.2,64,15.5,45.6,-19.5,-19.5,44.5,1.2,15.5,45.6,84,14.7,49.2,-43,,46.07,,14.7,49.2,,,,,,,,,
3736/006,246 First Street LLC,246 1st St,94105,70000,,"246 1st St
SAN FRANCISCO, CA 94105
(37.787929, -122.395252)",Exempt,Vacancy,http://propertymap.sfplanning.org/?&search=3736/006,Exempt,Vacancy,Exempt,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Upcoming,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,68.2,166.1,-10.4,-10.3,363.8,5.2,68.2,166.1,65,54.5,156.5,-16.4,,318.2,,54.5,156.6,66,50.6,,-17.5,,307.6,,49.8,
3775/022,376 Brannan St,376 BRANNAN ST,94107,15837,Office,"376 BRANNAN ST
SAN FRANCISCO, CA 94107
(37.780472, -122.393819)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=3775/022,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,89,25.9,66.7,-43.6,-43.6,31.9,2,25.9,66.7,86,28.2,73.8,-39.4,-39.4,33.3,2.1,29.2,74.8,80,30.1,80.4,-32.4,-32.4,35.8,2.3,32.7,83.1,73,36.9,93.7,-23.9,-24,45.5,2.9,37.1,94,,,,,,,,,,,,,,,,,,
3736/099,583 HOWARD ST,583 HOWARD ST,94105,34500,Office,"583 HOWARD ST
SAN FRANCISCO, CA 94105
(37.787141, -122.397775)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=3736/099,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,98,24.5,65.3,-62,-62,66.9,1.9,23.8,63,98,23.2,63.4,,,60.8,1.8,22.7,61.7,98,22.8,62.2,,,59.8,1.7,22.8,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515/019,170 13TH ST,170 13TH ST,94103,19407,,"170 13TH ST
SAN FRANCISCO, CA 94103
(37.769871, -122.41687)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3515/019,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0499/009,2850 VAN NESS AVE,2850 VAN NESS AVE,94109,15559,,"2850 VAN NESS AVE
SAN FRANCISCO, CA 94109
(37.802056, -122.424619)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0499/009,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,101.3,161.7,-8.1,-8.1,74,6.1,102.4,165.3,68,95.2,153.9,-15.5,-15.5,69.8,5.8,95.4,154.4,,,,,,,,,,,,,,,,,,
3932/017,208 Utah,208 Utah Street,94103,76620,Office,"208 Utah Street
SAN FRANCISCO, CA 94103
(37.766934, -122.406648)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=3932/017,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,,,,,,,,,82,62.4,184.6,-34.5,-34.5,401,5.2,62.7,184.9,79,64.8,193.4,-31.5,-31.5,394.4,5.1,64,190.9,77,73,198.3,-29.2,-29.2,423.8,5.5,73,198.3,96,30.7,86.1,-57,-57,193.7,2.5,30.7,86.1,94,27.9,83.7,-52.3,,182.2,,27.6,83.5,99,30.2,,-65.1,,181.75,,30.2,
3719/018,199 Fremont Street,324 HOWARD ST,94105,537024,Office,"324 HOWARD ST
SAN FRANCISCO, CA 94105
(37.789635, -122.394622)",Complied,,http://propertymap.sfplanning.org/?&search=3719/018,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - LEED EBOM,2018-04-01T00:00:00,Exempt - LEED EBOM,2012-11-15T00:00:00,93,63.3,147.5,-48.9,-48.9,1959.9,4.2,64.3,148.6,96,54.2,129.4,-54.8,-54.8,1869,4,55.9,131.2,94,55.6,135.2,-51.4,-51.4,1846.3,4,56.3,136,90,62.5,158.5,-44.1,-44.1,2117.3,4.6,64.1,160.2,86,68.2,174.4,-39.4,-39.4,2463.5,5.3,68.3,174.4,80,68.5,183.8,-31.3,,2533.72,,69.1,185.2,82,69,,-33,,2515.25,,69,
3736/095,217 Second Street,217 2ND ST,94105,22687,Office,"217 2ND ST
SAN FRANCISCO, CA 94105
(37.786428, -122.397809)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3736/095,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,74,46.1,117.3,-25.4,-25.4,80.7,3.6,46.1,117.3,73,44.1,120.8,-24.9,-24.9,76.1,3.4,43.8,118.7,63,48.3,136,-13.9,-13.9,84.6,3.7,49.8,137.6,77,43.5,114.8,-29.3,-29.3,78.5,3.5,43.6,114.9,,,,,,,,,,,,,,,,,,
3754/007,Astro Studios Inc.,348 6TH ST,94103,18000,Office,"348 6TH ST
SAN FRANCISCO, CA 94103
(37.777879, -122.404836)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3754/007,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,19,139.4,195,42.3,42.3,147.4,8.2,137.9,193.4,23,132.1,183.6,33.9,33.9,137.3,7.6,132.1,183.6,23,122.5,181.2,34.1,34.1,130,7.2,122.5,181.2,69,36.1,113.5,-20.1,-20.1,57.2,3.2,36.1,113.5,,,,,,,,,,,,,,,,,,
6959/028,4800 MISSION ST,4800 MISSION ST,94112,14228,,"4800 MISSION ST
SAN FRANCISCO, CA 94112
(37.720981, -122.437606)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=6959/028,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0266/006,22 Battery,22 BATTERY ST,94111,73640,Office,"22 BATTERY ST
SAN FRANCISCO, CA 94111
(37.791547, -122.399629)",Complied,,http://propertymap.sfplanning.org/?&search=0266/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,82,55.1,134.3,-34.8,-34.8,276.8,3.8,58.3,137.6,80,55.4,137.8,-32.5,-32.5,311.1,4.2,61.2,142.9,81,54.6,138.4,-32.9,-32.9,294.8,4,55.5,138.3,83,52.1,131.2,-36.2,-36.2,280.3,3.8,56.9,136.2,80,58.4,136.8,-32.1,-32.1,303.9,4.1,59,137.5,59,69.1,158.7,-9.3,,332.8,,67.6,157.2,59,72.4,,-10.4,,358.14,,68.1,
0628/013,Pacific Professional Building,2140 WEBSTER ST,94115,263062,Medical Office,"2140 WEBSTER ST
SAN FRANCISCO, CA 94115
(37.790479, -122.432501)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=0628/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,74,60.3,171,-30.3,-30.3,704.3,4.9,62,172.9,72,62.1,177.1,-28.5,-28.5,687.4,4.8,62.7,176.8,73,61.3,175.6,-28.9,-28.9,680.3,4.8,64,178.4,72,64.3,180.8,-28.8,-28.8,707.3,5,63.7,181,81,65.4,193.7,-35.9,,789.71,,64.9,193.1,80,67.7,,-35,,812.01,,66.6,
4082/010,"Mission Language and Vocational School, Inc. (MLVS)",2929 19TH ST,94110,35072,Vocational School,"2929 19TH ST
SAN FRANCISCO, CA 94110
(37.760401, -122.41135)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4082/010,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,,,,,,,,,,36.8,76.8,-45.7,-45.7,90.1,2.6,37.9,78,,29.6,60.5,-57.2,-57.2,69.2,2,29.6,60.5,,16.2,36.5,-74.2,-74.2,39.5,1.1,19.6,40.1,,31.4,49.3,-65.2,-65.2,66.3,1.9,27.1,44.7,,,,,,,,,,,,,,,,,,
0237/008,230 California,230 CALIFORNIA ST,94111,45574,Office,"230 CALIFORNIA ST
SAN FRANCISCO, CA 94111
(37.793302, -122.399294)",Complied,,http://propertymap.sfplanning.org/?&search=0237/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,5,168.3,348.9,87.3,87.3,492.7,10.8,171.2,352,5,172.5,353.1,92,92,543.8,11.9,176.7,357.4,4,177.5,363.4,95,95,539.4,11.8,179.3,365.3,3,186.8,372.5,102.6,102.6,561.5,12.3,189.8,375.6,8,170.9,325.3,72.5,72.5,524.2,11.5,171.2,325.6,,169.9,337.1,149.9,,531.14,,168.1,335.3,,,,,,,,,
5585/004,2211 PALOU AVE,2211 PALOU AVE,94124,16500,Office,"2211 PALOU AVE
SAN FRANCISCO, CA 94124
(37.740573, -122.401986)",Complied,,http://propertymap.sfplanning.org/?&search=5585/004,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,32,98.9,192.8,20.5,20.5,102.7,6.2,101.1,195,24,113,209.2,32.5,32.5,123.1,7.5,115.4,211.7,56,75.7,147.5,-6.7,-6.7,81.6,4.9,78.1,150,62,69.9,136.2,-12.7,-12.7,75.4,4.6,74.6,139.5,60,76.2,145.4,-10.7,-10.7,81.4,4.9,73.9,143.6,,,,,,,,,,,,,,,,,,
2405/037,Bank of America Parkside 00318-0000258,1007 TARAVAL ST,94116,13040,Bank Branch,"1007 TARAVAL ST
SAN FRANCISCO, CA 94116
(37.743, -122.477102)",Complied,,http://propertymap.sfplanning.org/?&search=2405/037,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,86,38.7,87.2,-39.8,-39.8,33.4,2.6,39.5,88.1,86,41.2,86.4,-39.6,-39.6,34.6,2.7,42.3,87.6,90,32,78.9,-45.2,-45.2,30.2,2.3,33,80,89,32.2,80.2,-44.4,-44.4,30.5,2.3,32.2,80.2,91,30,77.9,-46.2,-46.2,30.8,2.4,30,77.9,,,,,,,,,,,,,,,,,,
0310/013,Geary Grant LLC,77 MAIDEN LN,94108,119000,Office,"77 MAIDEN LN
SAN FRANCISCO, CA 94108
(37.788262, -122.404853)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0310/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,28.8,84.5,-42.9,-42.9,285.9,2.4,30.1,85.9,,30.4,89.5,-39.6,-39.6,285.4,2.4,30.9,89.9,,30.5,90.7,-38.7,-38.7,287.6,2.4,30.7,91.2,,41.3,103.1,-30.4,-30.4,357.7,3,41.3,103.1,96,47.3,125.1,-57.9,,447.31,,48.5,128.5,97,43,,-60.6,,413.93,,42.5,
3784/017,787 Brannan Street,787 BRANNAN ST,94103,18896,Other,"787 BRANNAN ST
SAN FRANCISCO, CA 94103
(37.77329, -122.402918)",Complied,,http://propertymap.sfplanning.org/?&search=3784/017,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,20.4,36.7,-70.2,-70.2,23.7,1.3,21.5,38.1,,22,37.6,-69.5,-69.5,26.5,1.4,24.9,40.5,,21.3,35.2,-71.4,-71.4,24.6,1.3,22.7,36.7,,20.1,35.6,-71.1,-71.1,23.9,1.3,24.1,40.4,,26.7,44.4,-63.9,-63.9,31.9,1.7,25.1,42.5,,,,,,,,,,,,,,,,,,
0643/015,Old First Presbyterian Church,1660 VAN NESS AVE,94109,18263,Worship Facility,"1660 VAN NESS AVE
SAN FRANCISCO, CA 94109
(37.791121, -122.422407)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=0643/015,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,95,16.9,35.1,-57.1,-57.1,21.5,1.2,19.1,37.8,97,15.1,31.8,-62.8,-62.8,18.6,1,15.4,32.4,97,12.5,30.5,-63.1,-63.1,16.4,0.9,14,32.1,92,18.3,42.3,-51.3,-51.3,23.5,1.3,18.5,42.6,,,,,,,,,,,,,,,,,,
3521/027,1585 FOLSOM ST,1585 FOLSOM ST,94103,16800,Office,"1585 FOLSOM ST
SAN FRANCISCO, CA 94103
(37.771091, -122.414839)",Complied,,http://propertymap.sfplanning.org/?&search=3521/027,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,97,41.4,117.2,-64.1,-64.1,50.4,3,42.5,118.3,97,38.4,116.9,-64,-64,55,3.3,38.4,116.9,97,36.8,112.5,-65.3,-65.3,49.7,3,37.1,112.8,95,41.4,127.7,-60.3,-60.3,56.2,3.3,41.4,127.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310/008,28 Geary,28 GEARY ST,94108,50121,Office,"28 GEARY ST
SAN FRANCISCO, CA 94108
(37.787886, -122.404073)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0310/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,86,36.3,107.4,-39.7,-39.7,134.3,2.7,36.6,107.2,86,36.3,109,,,144.9,2.9,36.5,109.2,91,32.1,94.2,,,126.7,2.5,32.8,95,93,32.6,92.3,,,126.3,2.5,32.6,92.3,93,32.2,92.6,-49.9,,134.8,,32.3,92.7,93,32.6,,-49.7,,140.5,,32.6,
1215/016,425 Divisadero,1100 OAK ST,94117,30044,Office,"1100 OAK ST
SAN FRANCISCO, CA 94117
(37.773094, -122.43782)",Complied,,http://propertymap.sfplanning.org/?&search=1215/016,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Complied,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,49,107.3,164.5,0.1,0.1,188.2,6.3,107.3,164.5,49,108.9,166.2,0.6,0.6,198.9,6.6,108.9,166.2,47,106.8,165.5,2.6,2.6,192.3,6.4,106.8,165.5,34,118.6,183.3,18.1,18.1,213.3,7.1,118.6,183.3,38,121.9,191,12.7,12.7,220.3,7.3,121.9,191,,,,,,,,,,,,,,,,,,
0239/026,199001 420 Montgomery Street,464 CALIFORNIA ST,94104,380000,Financial Office,"464 CALIFORNIA ST
SAN FRANCISCO, CA 94104
(37.792922, -122.402291)",Complied,,http://propertymap.sfplanning.org/?&search=0239/026,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Exempt - ENERGY STAR,2012-11-15T00:00:00,96,42.8,102.6,-56.1,-56.1,1198.2,2.9,44.4,104.3,93,50.7,118.1,-49.6,-49.6,1421,3.7,,,95,44.2,109.7,-53.9,-53.9,1219.1,3.2,,,95,46.7,113.7,-53.5,-53.5,1276.8,3.4,,,90,68.7,142,-44.9,-44.9,1748.3,4.6,,,90,68.7,141,-45.5,,1821.9,,65.4,137.5,,,,,,,,,
3957/002,350 Rhode Island - North,350 Rhode Island - North,94103,127074,Other - Education,"350 Rhode Island North
SAN FRANCISCO, CA 94103
",Complied,,http://propertymap.sfplanning.org/?&search=3957/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,76.8,189,33.6,33.6,667.8,5.3,77.3,189.6,,100.4,244,72.5,72.5,961.3,7.6,101.6,245.3,,108.1,268.3,89.7,89.7,997.3,7.8,108.2,266.3,,102.7,254.3,79.8,79.8,946.4,7.4,99.9,245.4,,92.1,228.8,61.9,61.8,900.9,7.1,91.6,230.2,,94.9,242.8,63.6,,940.9,,95.3,244.4,,125,,96,,1160.87,,123.6,
3749/062,303 Second Street,303 2ND ST,94105,998592,Office,"303 2ND ST
SAN FRANCISCO, CA 94105
(37.784912, -122.395925)",Complied,,http://propertymap.sfplanning.org/?&search=3749/062,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - LEED EBOM,2013-04-01T00:00:00,96,45.5,132.3,-56.4,-56.4,2790.8,3.3,45.9,132.8,95,47.8,140.9,-53.1,-53.1,3347.9,4,48.6,141.7,94,48.5,144.2,-52.3,-52.3,3217,3.8,48.8,144.5,90,53.1,153.6,-44.2,-44.2,3473.8,4.2,53,152.1,86,54,155.7,-38.8,-38.8,3778.5,4.5,54,155.7,86,53.9,156.1,-39.1,-39,3781.1,4.5,53.7,155.8,85,54.8,159.6,-38.1,-38,3857.7,4.6,54.7,159.5
3936/002,16th&Kansas Streets Building,1616 16TH ST,94103,72330,Office,"1616 16TH ST
SAN FRANCISCO, CA 94103
(37.766036, -122.40321)",Complied,,http://propertymap.sfplanning.org/?&search=3936/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,100,17,34.3,-79.6,-79.6,78.3,1.1,18.5,35.8,100,16.8,36.2,-78.5,-78.5,86.2,1.2,19.7,39.4,100,15.8,36,-78.5,-78.5,79.9,1.1,,,100,15.1,34.9,-79.1,-79.1,76.7,1.1,,,100,18.5,38.9,-77,-77,90.4,1.2,16.9,36.8,,,,,,,,,,,,,,,,,,
3776/005,550 THIRD STREET,550 3RD ST,94107,15930,Office,"550 3RD ST
SAN FRANCISCO, CA 94107
(37.780602, -122.394973)",Complied,,http://propertymap.sfplanning.org/?&search=3776/005,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,,,Complied,2013-04-01T00:00:00,58,62,165.3,-8.9,-8.9,69.8,4.4,66.3,169.8,61,59.3,156.5,-12,-12,74.3,4.7,56.4,147.3,66,59.1,149.8,-17.4,-17.4,69,4.3,61.2,152,86,44.1,108.1,-39.4,-39.4,50.7,3.2,44.1,108.1,77,53.6,129.3,-29.3,-29.3,64.7,4.1,54,129.8,,,,,,,,,,,,,,,,,,
0643/018,1600 VAN NESS AVE,1600 VAN NESS AVE,94109,55219,,"1600 VAN NESS AVE
SAN FRANCISCO, CA 94109
(37.790686, -122.422318)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0643/018,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
