pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM03088847,0117_0081,3088847,1140 19th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1140 19TH ST NW,1140 19TH LLC,2,1140 19th Street NW,Washington,DC,20036,1977,Office,Office,82821,78490.5,42,77.4,77,230.7,229.5,668.2,8.5,1651.7,1644580,4647.219,,,Whole Building,,38.90496224,-77.04388326
PM03089076,03750834;03750835;03750836;03750837;03757003;03757006;03757007;03757008;03757009;03757010;03757011;03757014;03757015,3089076,Jamestown Premier 733 10th Street Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,733 10TH ST NW,JAMESTOWN PREMIER 733 10TH STREET CORPORATION; FIRST CONGREGATIONAL UNITED CHURCH OF CHRIST,2,733 10th St NW,Washington,DC,20001,2011,Office,Office,209664,200969,79,60.7,61,186.2,186.4,1372.8,6.8,3554.7,3449137,4374.136074,,,Whole Building,,38.89855076,-77.0255683
PM03111726,0287_0812,3111726,National Museum of Women in the Arts,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,Data under review by DOEE,0801 13TH ST NW,NATIONAL MUSEUM WOMEN IN ARTS,2,1250 New York Ave. NW,Washington,DC,20005,1986,Other,Other,63677,72628,,269.7,270.6,630.8,631.8,1784,24.6,2491.8,3540648,75052.2958,,,Whole Building,,38.90005647,-77.02916369
PM03135967,2106_1084,3135967,Woodley Park Towers,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2737 DEVONSHIRE PL NW,WOODLEY PARK TOWERS CONDO,3,2737 Devonshire Pl NW,Washington,DC,20008,1929,Multifamily Housing,Multifamily Housing,197061,250000,79,63.7,66.2,96.1,98.1,1061.3,4.2,6726.3,1023366,124425.5531,,,Whole Building,Whole Building,38.9315766,-77.0574749
PM03185754,0027_0820,3185754,2424 Pennsylvania,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2424 PENNSYLVANIA AV NW,PENNSYLVANIA HOUSE ASSOCIATION,2,2424 Pennsylvania Ave NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,112937,94500,87,44.1,43.9,111.1,109.3,401.7,4.3,4318.3,859324.2,12327.38684,,,Whole Building,Whole Building,38.90299046,-77.05227492
PM03197385,0221_0037,3197385,740 15th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,750 15TH ST NW,NCRC 740 LLC,2,740 15th Street NW,Washington,DC,20005,1907,Office,Office,207654,207654,70,55.9,55.9,175.6,175.6,1331.9,6.4,8990.3,3403963,,,,Whole Building,Whole Building,38.90002663,-77.03392205
PM04260427,Not Available,4260427,The Rodman,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,3002 Rodman Street NW,The Rodman,,3002 Rodman Street NW,Washington,DC,20008,1925,Multifamily Housing,Multifamily Housing,25000,25000,77,72,74.7,107.4,109.4,119,4.8,437.7,111403.2,14201.61163,,,Whole Building,Whole Building,38.92827484,-77.04308044
PM03204867,40210014,3204867,Depeartment of Veterans Affairs Community Resource Refferal Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1500 Franklin St NE,Depeartment of Veterans Affairs Community Resource Refferal Center,,1500 Franklin St NE,Washington,DC,20018,1927,Medical Office,Medical Office,15200,15200,21,136.1,138.5,290.4,289.9,175.9,11.6,303.6,314243.8,9970.20229,,,Whole Building,Whole Building,38.92601109,-76.98362223
PM03220077,0168_0051,3220077,1730 Pennsylvania Ave NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1730 PENNSYLVANIA AV NW,1730 PENNSYLVANIA AVENUE LP,2,1730 Pennsylvania Ave NW,Washington,DC,20006,1969,Office,Office,177924,319420,82,61.4,61.4,192.7,192.7,2248.7,7,5529.5,5745638,,6900,,Whole Building,Whole Building,38.89874481,-77.04022991
PM03229557,0076_0091,3229557,2001 K St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2001 K ST NW,2001 K STREET LLC,2,2001 K St NW,Washington,DC,20006,1998,Office,Office,249744,277620,56,80.6,80,253,251.1,2565,9.2,4209.9,6555198,,,,Whole Building,Whole Building,38.9030045,-77.0452476
PM03229646,0183_0879,3229646,1615 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1615 L ST NW,CP 1615 L STREET LLC,2,1615 L St NW,Washington,DC,20036,1984,Office,Office,659196,414675,79,57.6,57.7,180.9,181.2,2739.2,6.6,5922.7,7000527,,,,Whole Building,Whole Building,38.9042707,-77.0374372
PM03230040,0039_0004,3230040,Milken Institute School of Public Health,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,950 NEW HAMPSHIRE AV,THE GEORGE WASHINGTON UNIVERSITY,2,950 New Hampshire Ave NW,Washington,DC,20052,2014,College/University,College/University,115000,152638,,81.6,81.6,210.3,207.4,1222,8,2359,2666881,33602.686,,,Whole Building,Whole Building,38.90219653,-77.05107586
PM03231831,1650026,3231831,801 Seventeenth Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,801 17th Street NW,801 Seventeenth Street NW,,801 17th Street NW,Washington,DC,200063912,2010,Office,Office,245597,245597,75,66.9,66.9,210,210,1883.7,7.7,6187.4,4814051,,,,Whole Building,,38.90053731,-77.03911705
PM03238385,0073_0079,3238385,2141 K Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2141 K ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2,2141 K Street NW,Washington,DC,20037,1966,Medical Office,Medical Office,166176,82592,39,117.9,119.4,315.6,317.1,983.8,11.9,7798.8,2220580,21643.90069,,,Whole Building,Whole Building,38.90292904,-77.04802991
PM03259832,1977_3012,3259832,4600 Connecticut Avenue Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,4600 CONNECTICUT AVE NW,4600 CONNECTICUT AVE CONDO,3,4600 Connecticut Avenue NW,Washington,DC,20008,1957,Multifamily Housing,Multifamily Housing,229657,299840,90,52.7,53.3,97.6,97.1,1212.7,4,9240.7,1779978,97191.99878,,,Whole Building,Whole Building,38.9502054,-77.0675305
PM03262071,0859_0837,3262071,609 H STREET,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,601 H ST NE,609 H ST NE BLDG PJV LLC,6,609 H STREET,Washington,DC,20004,1987,Office,Office,110281,77158,79,58.4,58.4,183.5,183.5,517.1,6.7,3929.1,1321632,,,,Whole Building,Whole Building,38.90002407,-76.9978231
PM03267015,0675_0850,3267015,840 First Street NE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,840 1ST ST NE,FP 840 FIRST STREET LLC,6,840 1st Street NE,Washington,DC,20002,2003,Office,Office,266766,275617,80,68.6,,208.2,,2110.3,7.7,8274.1,5260600,9493.10637,20189.4,,Whole Building,,38.90110524,-77.00688057
PM03267016,0569_0080,3267016,500 First Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,500 1ST ST NW,FP 500 FIRST STREET LLC,6,500 1st Street NW,Washington,DC,20001,1969,Office,Office,160600,134435,90,67.9,,168.7,,871.1,6.5,2529,1835432,28523.40015,19720.2,,Whole Building,Whole Building,38.89639159,-77.01258109
PM03267017,0159_0084,3267017,1211 Connecticut,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1211 CONNECTICUT AV NW,FP 1211 CONNECTICUT AVENUE LLC,2,1211 Connecticut Avenue NW,Washington,DC,20036,1967,Office,Office,183950,159083,82,71.1,71.2,175.5,173.6,1129.8,7.1,7108.9,2264077,10484.2377,2536798.9,,Whole Building,Whole Building,38.90634525,-77.04092128
PM03268854,0166_0042,3268854,1750 H Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1750 H ST NW,FP CPT 1750 H STREET LLC,2,1750 H Street,Washington,DC,20006,2002,Office,Office,166522,122193,76,58.2,,180.2,,806.4,6.6,3289.1,2040637,1484.686152,,,Whole Building,,38.90000507,-77.0409065
PM03274029,0319_0864,3274029,700 Eleventh Street w/ Cosi,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0700 - 1111 11TH ST NW,1991 ACQUISITION FUND ONE,2,700 Eleventh Street NW,Washington,DC,20001,1991,Office,Office,457926,347864,64,81.9,81.9,254.4,254.4,3238.5,9.3,6543.3,8211740,4779.355118,,,Whole Building,Whole Building,38.89874863,-77.02732212
PM03274455,2538_0806,3274455,1901 Wyoming Avenue NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1901 WYOMING AV NW,1901 WYOMING AVENUE COOPERATIVE,1,1901 Wyoming Avenue NW,Washington,DC,20009,1930,Multifamily Housing,Multifamily Housing,71791,71791,76,61.2,63.3,92.8,95,293.8,4.1,1135.6,287059,34166.19995,,,Whole Building,Whole Building,38.91859638,-77.04548941
PM03283514,0563_0016,3283514,Jemal's Darth Vader LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,111 MASSACHUSETTS AVE NW,JEMAL'S DARTH VADER LLC,6,111 Massachusetts Ave NW,Washington,DC,20001,1983,Office,Office,382448,310129,76,58.7,58.7,184.4,184.4,2089,6.7,4476.7,5338759,,,,Whole Building,Whole Building,38.89967769,-77.01317606
PM03286246,5926_0003,3286246,the overlook,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,3700 9TH ST SE,PARKSIDE TERRACE DEVELOPMENT LLC,8,3700 9th street se,Washington,DC,20032,1968,Multifamily Housing,Multifamily Housing,319582,252800,74,40,40.1,120.6,120.7,1122,4.4,7822.4,2785671,6016.999987,,,Whole Building,,38.8358959,-76.9940286
PM03295814,0540_0109;0540_0118,3295814,Capital Park Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,101 G ST SW; 201 I ST SW,CAPITAL PARK APARTMENTS LIMITED PARTNERSHIP,6,201 I St SW,Washington,DC,20024,1965,Multifamily Housing,Multifamily Housing,256484,546234,79,69,69.8,127.7,125.8,2890.6,5.3,26725.5,4230994,232535.3324,,,Whole Building,Whole Building,38.8796914,-77.0141252
PM03297072,39530002;39540004;40240002;40250004,3297072,Brookland Manor,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1279 - 1295 BRENTWOOD RD NE; 1335 - 1345 SARATOGA AV NE; 1425 - 1429 MONTANA AV NE; 2525 - 2531 14TH ST NE,BRENTWOOD ASSOCIATES,5,2413 14th Street NE,Washington,DC,20018,1947,Multifamily Housing,Multifamily Housing,77702,535000,42,82,82.8,139.5,137.5,3171.7,5.9,40255.5,4010191,301709.9985,,,,,38.922313,-76.984647
PM03298250,2848_1848,3298250,Kenyon Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1390 KENYON ST NW,KENYON SQUARE CONDO,1,1390 Kenyon St NW,Washington,DC,20010,2007,Multifamily Housing,Multifamily Housing,150123,204796,31,64,64.5,133.1,132.5,1093.9,5.3,20986.7,1893295,66479.1053,,,Whole Building,Whole Building,38.9297375,-77.032194
PM03298382,3630_0808,3298382,Edgewood IV,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0611 EDGEWOOD ST NE,EDGEWOOD IV LP,5,611 Edgewood Street NE,Washington,DC,20017,1973,Multifamily Housing,Multifamily Housing,383900,383900,84,39.4,39.5,80.8,79.3,1249.2,3.3,22.9,2120603,78963.00241,,,Whole Building,Whole Building,38.92312217,-76.99787914
PM03298389,04470041;04480112;04810023,3298389,Washington Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1200 - 1210 6TH ST NW; 1205 7TH ST1/2 NW; 1300 - 1312 6TH ST NW,WASHINGTON APARTMENT LP,6,1204 5th Street NW,Washington,DC,20001,1977,Multifamily Housing,Multifamily Housing,65836,262000,90,29.2,29.2,91.7,91.7,877.1,3.3,9764.6,2241642,,,,Whole Building,Whole Building,38.90702337,-77.01956253
PM03298446,3630_0807,3298446,Edgewood I,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0601 EDGEWOOD ST NE,EDGEWOOD TERRACE ONE LLC,5,601 Edgewood Street NE,Washington,DC,20017,1970,Multifamily Housing,Multifamily Housing,345574,250000,56,61.7,62.2,156.6,157.1,1495.5,6,22394.4,3219581,44385.99968,,,Whole Building,,38.9242661,-76.9978151
PM04260428,Not Available,4260428,Sixteen Hundred,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1600 16th Street NW,Sixteen Hundred,,1600 16th Street NW,Washington,DC,20009,1940,Multifamily Housing,Multifamily Housing,45630,45630,61,91.1,92.9,155.1,154.8,300.7,6.6,4481.7,380434.1,28580.26692,,,Whole Building,Whole Building,38.92827485,-77.04308045
PM03301503,0697_0045,3301503,Half Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1015 HALF ST SE,HALF STREET SE LLC,6,1015 Half St. SE,Washington,DC,20003,2011,Office,Office,400000,414463,97,33.6,33.6,105.5,105.5,1596.2,3.9,3405.2,4079425,,,,Whole Building,Whole Building,38.87822921,-77.00781299
PM03306991,01850811;01850812;01850813;01850817,3306991,1600K St. NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1600 K ST NW; 16TH ST NW,1600 CAPITAL ASSOCIATES LLC,2,1600 K Street NW,Washington,DC,20006,1950,Office,Office,89511,93176,89,54,55.3,137.5,138,489.1,5.2,2336,1055983,14297.0017,,,Whole Building,,38.9021571,-77.0369613
PM03306992,0116_0076; 0116_0850,3306992,,,,12/31/2016,Exempt from this year's disclosure,1233 20TH ST NW,JBG/1233 20TH STREET LLC,2,,Washington,DC,20036,1984,,,222726,,,,,,,,,,,,,,Whole Building,Whole Building,38.90671125,-77.04449747
PM03306993,1191_0072,3306993,1025 Thomas Jefferson Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1025 THOMAS JEFFERSON ST NW,1025 THOMAS JEFFERSON INC,2,1025 Thomas Jefferson Street NW,Washington,DC,20007,1984,Office,Office,451939,365917,91,50.6,50.5,158.9,158.4,2123.2,5.8,4187,5426090,,,,Whole Building,Whole Building,38.90333924,-77.05929918
PM03312996,0078_0039,3312996,2000 K,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2000 K ST NW,2000 K LLC,2,2000 K St NW,Washington,DC,20006,1986,Office,Office,313330,151028,,33.5,33.5,105.3,105.3,580.6,3.8,2080.2,1483829,,,,Whole Building,Whole Building,38.9021292,-77.0452259
PM03314944,5057_0803,3314944,Mayfair Mansions,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,3720 - 3820 HAYES ST NE,MAYFAIR MANSIONS LIMITED PARTNERSHIP,7,3744 1/2 Hayes Street NE,Washington,DC,20019,1940,Multifamily Housing,Multifamily Housing,417812,300000,74,38.5,38.5,120.9,120.9,1325.1,4.4,19655.9,3386553,,,,Whole Building,Whole Building,38.903658,-76.948889
PM03315781,0161_0039,3315781,1130 Connecticut Avenue DDOE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1130 CONNECTICUT AV NW,PENZANCE 1130 PROPERTY OWNER LLC,2,1130 Connecticut Avenue,Washington,DC,20036,1986,Office,Office,290618,235030,82,54.6,54.6,171.5,171.5,1471.8,6.3,4072.4,3761499,,,,Whole Building,Whole Building,38.90474782,-77.04079235
PM03316372,5869_0068,3316372,Oxford Manor Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2607 - 2637 BOWEN RD SE,OXFORD MANOR LP,8,2607 Bowen Road SE,Washington,DC,20020,1977,Multifamily Housing,Multifamily Housing,279872,291302,1,80.4,80.4,222.9,222.9,2432,8.3,13398.7,5654204,41341.00198,,,Whole Building,Whole Building,38.859213,-76.990867
PM03316403,5915_0014,3316403,Congress Park I,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1325 - 1333 SAVANNAH ST SE,SOUTHEAST WASHINGTON DEVELOPMENT ASSOCIATES LP,8,1345 Savannah St SE,Washington,DC,20032,1948,Multifamily Housing,Multifamily Housing,56580,130400,84,38.8,38.8,121.8,121.8,580,4.4,10550.5,1482365,,,,Whole Building,,38.8433419,-76.9875241
PM03330701,2633_0829,3330701,Crestwood Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,3900 16TH ST NW,CRESTWOOD APARTMENTS ASC,4,3900 16th Street NW,Washington,DC,20011,1955,Multifamily Housing,Multifamily Housing,263283,263260,91,54.7,55.8,91.7,92,1030.5,3.9,12273.9,1262426,101004.7089,,,Whole Building,,38.93933039,-77.03727482
PM03332272,0546_2282,3332272,Carrollsburg A Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0240 M ST SW,THE CARROLLSBURG CONDO,6,1250 4th St. SW,Washington,DC,20024,1974,Multifamily Housing,Multifamily Housing,305599,486912,60,74.6,77,116.1,117.5,2471.4,5.1,17247.1,2577844,275383.6596,,,Whole Building,Whole Building,38.8751593,-77.017243
PM03332403,2205_0839,3332403,Calvert Woodley,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2601 WOODLEY PL NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2601 Woodley Pl. NW,Washington,DC,20008,1954,Multifamily Housing,Multifamily Housing,206688,206688,84,55.8,,93.1,,825.3,4,4767.7,1000747,79746.43761,136840.8,,Whole Building,Whole Building,38.92380891,-77.05022676
PM03333296,2225_0842,3333296,2501 Porter,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2501 PORTER ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2501 Porter St. NW,Washington,DC,20008,1988,Multifamily Housing,Multifamily Housing,309058,204600,86,47.9,,119.2,,935.9,4.6,6738.9,1975182,30692.60711,,,Whole Building,Whole Building,38.93548768,-77.05399482
PM03333321,2132_0827,3333321,Cleveland House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2727 29TH ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2727 29th St. NW,Washington,DC,20008,1953,Multifamily Housing,Multifamily Housing,315129,315129,86,53.2,,89.4,,1235.5,3.9,7644.6,1491165,101555.2634,1517958.7,,Whole Building,Whole Building,38.92429928,-77.05718166
PM03333326,2049_0806,3333326,3003 Van Ness,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,3003 VAN NESS ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,3003 Van Ness St. NW,Washington,DC,20008,1970,Multifamily Housing,Multifamily Housing,902615,912615,89,44.8,,82.1,,3152.3,3.5,26183.3,4492192,239427.3817,1656013.8,,Whole Building,Whole Building,38.94373174,-77.06125007
PM03335507,0628_0169,3335507,500 North Capitol,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,500 NORTH CAPITOL ST NW,500 NORTH CAPITOL LLC,6,500 North Capitol Street,Washington,DC,20001,2012,Office,Office,297600,231958,93,46.7,,145.9,,1237.5,5.3,3562,3150504,751.3876654,10626,,Whole Building,Whole Building,38.89658475,-77.00948146
PM03336808,0031_0837,3336808,Potomac Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,2475 Virginia Avenue N.W.,Washington,DC,20037,1957,Multifamily Housing,Multifamily Housing,316550,316550,49,67.5,69.2,122.6,122.9,1617.4,5.1,9788.6,2298295,135189.8019,,,Whole Building,Whole Building,38.8990837,-77.05249743
PM03336872,1184_2624,3336872,3303 Water Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,3303 WATER ST NW,3303 WATER STREET A CONDO,2,3303 Water Street NW,Washington,DC,20007,2004,Multifamily Housing,Multifamily Housing,134036,134036,17,89.7,90.8,204.3,205.5,1073.2,8,4757.7,2070573,49526.31294,,,Whole Building,Whole Building,38.9038595,-77.0667352
PM03350185,0468_2265,3350185,Town Square Towers,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0700 7TH ST SW,TOWN SQUARE TOWERS CONDO,6,700 7th St SW,Washington,DC,200242459,1967,Multifamily Housing,Multifamily Housing,239118,316212,84,51.6,51.6,106.6,104.3,1354.7,4.3,11936.4,2326269,83676.19876,,,Whole Building,Whole Building,38.8802669,-77.0215353
PM03350280,0117_0078,3350280,Prudence LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1120 19TH ST NW,PRUDENCE LLC,2,1120 19th Street NW,Washington,DC,20036,1974,Office,Office,110550,116140,61,72.8,72.8,228.5,228.5,969.1,8.3,4408.9,2476789,,,,Whole Building,Whole Building,38.90455579,-77.04385972
PM04546033,Not Available,4546033,Lombardy Towers APT Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2019 I ST NW,Lombardy Towers APT Hotel,,2019 I ST NW,Washington,DC,20006,1926,Hotel,Hotel,85163,85163,59,89.1,89,200.4,197.8,671.2,7.9,7607.9,1275900,32379.18914,,,Whole Building,Whole Building,38.92827486,-77.04308046
PM04899803,Not Available,4899803,Woodridge,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2959 Carlton Avenue NE,Woodridge,,2959 Carlton Avenue NE,Washington,DC,20018,2004,K-12 School,K-12 School,42813,42813,55,55.1,55.2,167.2,167.4,263.1,6.1,217.3,656583.8,1169.554844,,,Whole Building,Whole Building,38.92827487,-77.04308047
PM03351514,0319_0863,3351514,33721-Washington Metro Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0775 12TH ST NW,HMC RETIREMENT PROPERTIES LTD PARTNERSHIP,2,775 12th St Nw,Washington,DC,20005,1994,Hotel,Hotel,392603,450000,79,68.4,68.4,170.9,170.9,2947.8,6.6,21898,6248627,94669.004,,,Whole Building,Whole Building,38.8993683,-77.02778798
PM03351518,0254_0838,3351518,33769-JW on Pennsylvania Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1331 PENNSYLVANIA AVE NW,JWDC LP,2,1331 Pennsylvania Ave Nw,Washington,DC,20004,1984,Hotel,Hotel,602234,695364,61,70.3,70.7,172.7,173.1,4623.4,6.6,32647,9643804,160012.9998,,,Whole Building,Whole Building,38.89653246,-77.03137409
PM03351519,0070_0190,3351519,33770-Washington West End Marriott,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1221 22nd St Nw,33770-Washington West End Marriott,,1221 22nd St Nw,Washington,DC,20037,1981,Hotel,Hotel,304053,304053,49,81,80.8,218,217.3,2499.3,8.2,13764,5666638,53087.00161,,,Whole Building,Whole Building,38.90547604,-77.04852288
PM04919501,5982_0049,4919501,,,,12/31/2016,Exempt from this year's disclosure,2705 MARTIN LUTHER KING JR AVE SE,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,8,,Washington,DC,20032,2014,,,56351,,,,,,,,,,,,,,Whole Building,Whole Building,38.92827488,-77.04308048
PM03351543,0215_0012,3351543,57151-Wash DC Thomas CIR,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1121 VERMONT AV NW,RIDC LLC,2,1199 Vermont Ave,Washington,DC,20005,1999,Hotel,Hotel,255003,160614,59,76.7,75.9,191.2,187,1178.1,7.3,6974,2491462,38256.00098,,,Whole Building,Whole Building,38.90461453,-77.03222475
PM03351765,0072_0074,3351765,9673w-Renaissance - Dupont Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1143 NEW HAMPSHIRE AVE NW,WASHINGTON VALUE ADDED I LLC,2,1143 New Hampshire Ave.,Washington,DC,20037,1990,Hotel,Hotel,226694,198000,28,114.5,114.3,261.9,258,2030.5,10.3,11310,3934293,92445.9972,,,Whole Building,Whole Building,38.90473955,-77.04756432
PM03351796,0051_0079,3351796,73R52-Washington DC Ritz Carlton,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1150 22nd Street Nw,73R52-Washington DC Ritz Carlton,,1150 22nd Street Nw,Washington,DC,20037,1990,Hotel,Hotel,269000,269000,1,264.6,265.1,614.7,611.3,6450.4,24,42898,12706890,278332.9952,,,Whole Building,Whole Building,38.90483647,-77.04910581
PM03351805,1189_0088,3351805,73R68-Georgetown Ritz Carlton,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,3100 South Street Nw,73R68-Georgetown Ritz Carlton,,3100 South Street Nw,Washington,DC,20007,2003,Hotel,Hotel,137000,137000,31,103.3,103.9,245.1,245.6,1303,9.5,6120,2623886,52028.9944,,,Whole Building,Whole Building,38.90285227,-77.06253256
PM03351826,7.10E+16,3351826,311dy-Courtyard US Capital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1325 2ND ST NE,DC CY OWNER LLC,6,1325 2nd Street NE,Washington,DC,20002,2009,Hotel,Hotel,137974,159857,31,77.6,77,211.2,209.4,1270,7.9,5449,2908371,24852.99943,,,Whole Building,Whole Building,38.9078803,-77.0031693
PM03353093,0273_2706,3353093,2020 Lofts,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2020 12TH ST NW,2020 LOFTS CONDOMINIUM,1,2020 12th Street NW,Washington,DC,20009,2005,Multifamily Housing,Multifamily Housing,144773,178156,67,57.1,58.3,127.9,128.4,896.9,5,6478.5,1696614,43880.0487,,,Whole Building,Whole Building,38.9176592,-77.028445
PM03353520,0770_0809,3353520,USDOT Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1200 NEW JERSEY AV,JBG/FEDERAL CENTER LLC,6,1200 New Jersey Ave. SE,Washington,DC,20590,2005,Office,Office,1918668,1583819,93,64.9,64.9,179.7,178,10663.1,6.7,39689,24779820,182080.9912,,,Whole Building,,38.8758636,-77.0029834
PM03353541,0671_0030,3353541,1300 First St NE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1300 1ST ST NE,MS 1300 FIRST ST LLC,6,1300 1st Street NE,Washington,DC,20002,1926,Office,Office,59178,54874,,34.2,34.2,106,106,212.9,3.9,500,539218,360.000003,,,Whole Building,,38.9075622,-77.00618135
